City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,arraial do cabo,-22.9661,-42.0278,28.98,78,40,3.09,BR,1712946987
149,westport,41.1415,-73.3579,15.61,89,100,8.75,US,1712946988
150,waingapu,-9.6567,120.2641,25.58,84,63,0.95,ID,1712946989
151,port-cartier,50.0334,-66.8654,3.19,98,100,6.56,CA,1712946990
152,east london,-33.0153,27.9116,15.52,72,0,4.12,ZA,1712946991
153,san fernando,15.0286,120.6898,26.85,81,8,1.14,PH,1712946991
154,ambilobe,-13.2,49.05,25.03,94,36,1.65,MG,1712946992
155,shingu,33.7333,135.9833,12.37,87,100,2.03,JP,1712946993
156,tibanbang,6.6315,126.1055,25.8,82,6,1.84,PH,1712946994
157,richards bay,-28.783,32.0377,17.98,77,35,2.05,ZA,1712946995
158,nova sintra,14.8667,-24.7167,22.63,83,83,7.6,CV,1712946996
159,dunedin,-45.8742,170.5036,8.78,91,100,2.09,NZ,1712946997
160,kargasok,59.0556,80.8572,-5.02,58,100,4.47,RU,1712946998
161,bardstown,37.8092,-85.4669,10.73,91,100,4.63,US,1712946818
162,palanga,55.9175,21.0686,8.01,93,100,2.57,LT,1712947001
163,constantia,44.1833,28.65,17.61,60,8,3.72,RO,1712946924
164,taulaga,-11.0553,-171.0883,29.77,76,100,4.08,AS,1712947002
165,singkil,-7.9855,111.4161,24.8,93,97,1.56,ID,1712947003
166,gweru,-19.45,29.8167,15.33,81,100,4.3,ZW,1712947005
167,naze,28.3667,129.4833,18.51,92,99,3.73,JP,1712947006
168,howrah,22.5892,88.3103,28.0,65,40,0.0,IN,1712947007
169,romblon,12.5751,122.2708,27.87,79,100,7.91,PH,1712947008
170,utrik,11.2278,169.8474,26.49,78,37,9.24,MH,1712947009
171,aral,40.5156,81.2636,18.74,17,90,5.97,CN,1712947010
172,tazacorte,28.629,-17.9293,22.54,64,0,4.63,ES,1712947011
173,cockburn town,21.4612,-71.1419,27.98,69,40,6.17,TC,1712947012
174,sokoni,-6.4333,39.55,28.64,81,100,7.35,TZ,1712947013
175,zabol,32.25,67.25,10.58,74,100,1.87,AF,1712947014
176,fortuna,40.5982,-124.1573,13.7,77,0,0.0,US,1712947015
177,madang,-5.2246,145.7966,24.41,97,100,1.99,PG,1712947016
178,ciudad lazaro cardenas,17.9583,-102.2,31.84,47,52,5.42,MX,1712946826
179,foumban,5.7291,10.9001,21.88,79,19,1.26,CM,1712947018
